"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6531","Apply this year filter","","2026-02-03","passed","2026-02-03","","clientsettings/TopicDateFilter.test.ts","",""
"","6530","Apply last month filter","","2026-02-03","passed","2026-02-03","","clientsettings/TopicDateFilter.test.ts","",""
"","8579","AppliedDateVisibile","","2026-02-03","failed","2026-02-03","","clientsettings/TopicDateFilter.test.ts","",""
"","5194","No result found","","2026-02-03","passed","2026-02-03","","clientsettings/TopicDateFilter.test.ts","",""
"","6652","Apply today date filter","","2026-02-03","passed","2026-02-03","","clientsettings/TopicDateFilter.test.ts","",""
"","6494","Apply last 7 days filter","","2026-02-03","passed","2026-02-03","","clientsettings/TopicDateFilter.test.ts","",""
"","8499","Apply last quarter filter","","2026-02-03","passed","2026-02-03","","clientsettings/TopicDateFilter.test.ts","",""
"","6508","Apply next year filter","","2026-02-03","passed","2026-02-03","","clientsettings/TopicDateFilter.test.ts","",""
"","6527","Apply last year filter","","2026-02-03","passed","2026-02-03","","clientsettings/TopicDateFilter.test.ts","",""
"","6519","Apply yesterday date filter","","2026-02-03","passed","2026-02-03","","clientsettings/TopicDateFilter.test.ts","",""
"","8590","Based on applied filter","","2026-02-03","passed","2026-02-03","","clientsettings/TopicDateFilter.test.ts","",""
"","6485","Apply last 30 days filter","","2026-02-03","passed","2026-02-03","","clientsettings/TopicDateFilter.test.ts","",""
